"screen_name","gender","user_followers_count","post_date","text","text_cleaned","polarity","tweet_length","relevance_score"
"jali_jalipung","female",72,"2020-11-03T08:27:19Z","Dana Trilunan habis buat cari presiden  hasilnya ini         Sekretaris Negara  Mensesneg   Pratikno  mengakui kekeliruan pada naskah  omnibus law  Undang Undang Cipta Kerja  UU Ciptaker  yang telah diteken Presiden RI Jokowi pada Senin  2 11  lalu  ","dana trilunan habis cari presiden hasilnya sekretaris negara mensesneg pratikno mengakui kekeliruan naskah omnibus law undang undang cipta kerja uu ciptaker diteken presiden ri jokowi senin ","positive",28,0.15503666
"Mileanisti","female",203,"2020-11-03T08:27:19Z","Omnibus Law itu bertujuan untuk memudahkan yang riber ribet menjadi lebih sederhana  Kalahkan Kovid ","omnibus law bertujuan memudahkan riber ribet sederhana kalahkan kovid ","negative",15,0.12304854
"tribunjatim","female",2546,"2020-11-03T08:26:48Z","Presiden Jokowi Teken Omnibus Law UU Cipta Kerja  Berlaku Mulai 2 November 2020  Berisi 1187 Halaman  aplikasi Tribunnews untuk update berita terbaru   untuk Android     via ","presiden jokowi teken omnibus law uu cipta kerja berlaku november berisi halaman aplikasi tribunnews update berita terbaru android via ","positive",23,0.21824809
"bunda_ima2901","female",5419,"2020-11-03T08:27:46Z","Semoga kadrun faham bahwa  UU BPIP itu bukan tafsir mengenai pancasila  bukan juga mengenai sejarah tapi yang dibahas disitu adalah tugas dan fungsi  kewenangan bagaimana menyosialisasikan Pancasila ","semoga kadrun faham uu bpip tafsir pancasila sejarah dibahas disitu tugas fungsi kewenangan menyosialisasikan pancasila ","negative",28,0.0056913
"RidhoBayuS","male",398,"2020-11-03T08:27:43Z"," mau teken omnibus law check  mah  ini aku blm baca semua isinya    udah  teken aja   tapi ma     ingat  kamu disini itu karena siapa  hmmm mulai deh     xixixi ak ga liyat           "," teken omnibus law check mah blm baca isinya udah teken aja ma hmmm deh xixixi ak ga liyat ","negative",31,0.10969768
"seruanhl","male",18786,"2020-11-03T08:27:07Z","Omnibus Law itu bertujuan untuk memudahkan yang riber ribet menjadi lebih sederhana  Kalahkan Kovid ","omnibus law bertujuan memudahkan riber ribet sederhana kalahkan kovid ","negative",15,0.12304854
"CelotehanHeg","male",400,"2020-11-03T08:26:40Z","Lumayan  bantu defisit jasa telekomunikasi makin dalam ","lumayan bantu defisit jasa telekomunikasi ","positive",7,0.00031494
"JabreakYudha","male",2041,"2020-11-03T08:31:01Z","Dana Trilunan habis buat cari presiden  hasilnya ini         Sekretaris Negara  Mensesneg   Pratikno  mengakui kekeliruan pada naskah  omnibus law  Undang Undang Cipta Kerja  UU Ciptaker  yang telah diteken Presiden RI Jokowi pada Senin  2 11  lalu  ","dana trilunan habis cari presiden hasilnya sekretaris negara mensesneg pratikno mengakui kekeliruan naskah omnibus law undang undang cipta kerja uu ciptaker diteken presiden ri jokowi senin ","positive",28,0.15503666
"andarisq8","male",749,"2020-11-03T08:31:03Z","Presiden Jokowi resmi meneken UU Cipta Kerja  Namun  berdasarkan penelusuran Tempo  masih ada salah ketik alias typo dalam omnibus law berjumlah 1 187 halaman ini   ","presiden jokowi resmi meneken uu cipta kerja berdasarkan penelusuran tempo salah ketik alias typo omnibus law halaman ","negative",24,0.23095784
"mfauzirizal82","male",2047,"2020-11-03T08:30:17Z","Jika kedepan banyak terjadi konflik agraria  maka kita tahu siapa yang telah memulainya dengan tandatangannya     "," kedepan konflik agraria memulainya tandatangannya ","positive",17,0.00614118
"bask_2772","male",400,"2020-11-03T08:30:18Z","Dana Trilunan habis buat cari presiden  hasilnya ini         Sekretaris Negara  Mensesneg   Pratikno  mengakui kekeliruan pada naskah  omnibus law  Undang Undang Cipta Kerja  UU Ciptaker  yang telah diteken Presiden RI Jokowi pada Senin  2 11  lalu  ","dana trilunan habis cari presiden hasilnya sekretaris negara mensesneg pratikno mengakui kekeliruan naskah omnibus law undang undang cipta kerja uu ciptaker diteken presiden ri jokowi senin ","positive",28,0.15503666
"HoetTkr","male",9849,"2020-11-03T08:29:25Z","Presiden Jokowi sahkan Omnibus Law    Presiden  UU Cipta Kerja RESMI BERLAKU Kalahkan Kovid ","presiden jokowi sahkan omnibus law presiden uu cipta kerja resmi berlaku kalahkan kovid ","positive",17,0.19778873
"JamriKorwal","male",130,"2020-11-03T08:29:26Z"," oh jadi gitu toh  emang yah ternyata mantap banget omnibus law ini  ga salah kemaren gue ga ikutan demo nolak omnibus law Kalahkan Kovid"," oh gitu emang yah mantap banget omnibus law ga salah kemaren gue ga ikutan demo nolak omnibus law kalahkan kovid","negative",26,0.23551309
"pinkyguuy","female",34,"2020-11-03T08:29:21Z","10 Omnibus Law bantu UMKM Indonesia     Bersatu Kalahkan Kovid"," omnibus law bantu umkm indonesia bersatu kalahkan kovid","positive",9,0.13581453
"SubektidodiDods","male",455,"2020-11-03T08:29:22Z","SJW AktifisRp  amp  KadrunRp teriak2 Tolak OBL diframing  sebagai Kitab Oligarkhi padahal 7an OBL itu justru memberangus Oligarkhi  amp    Lo teriak   Turunkan Jokowi   Kampret  Setingan Lo sudah terbaca Nyet ","sjw aktifisrp amp kadrunrp teriak tolak obl diframing kitab oligarkhi an obl memberangus oligarkhi amp lo teriak turunkan jokowi kampret setingan lo terbaca nyet ","negative",33,0.06084944
"Kaum_pusing","female",4977,"2020-11-03T08:30:39Z","Omnibus Law itu bertujuan untuk memudahkan yang riber ribet menjadi lebih sederhana  Kalahkan Kovid ","omnibus law bertujuan memudahkan riber ribet sederhana kalahkan kovid ","negative",15,0.12304854
"MissuKrupskaya","male",180,"2020-11-03T08:30:38Z","Sudah bisa teman teman dapatkan di kota masing masing"," teman teman dapatkan kota ","positive",8,0.00058488
"bs_vito","female",1263,"2020-11-03T08:30:27Z"," ajak UMKM manfaatkan fasilitas GSP ekspor produk ke Amerika Serikat   law banyak beri kemudahan untuk menunjang berkembangnya industri UMKM  "," ajak umkm manfaatkan fasilitas gsp ekspor produk amerika serikat law kemudahan menunjang berkembangnya industri umkm ","positive",21,0.12750256
"Mileanisti","female",203,"2020-11-03T08:29:16Z"," Ada aja bahan yang diframing dan untuk dipolitisir oleh SJW ini ya  Bayarannya ratusan juta kali yaa    "," aja bahan diframing dipolitisir sjw ya bayarannya ratusan juta kali yaa ","positive",15,0.00137222
"Icenthusiasts","female",340,"2020-11-03T08:30:08Z"," Demo yg omnibus law dulu yah   "," demo yg omnibus law yah ","positive",6,0.10846042
"kheplok","male",41,"2020-11-03T08:29:53Z"," Lebih seru mana dibanding ngamatin omnibus law dok    "," seru dibanding ngamatin omnibus law dok ","negative",8,0.10642462
"Bocahangonan","male",1489,"2020-11-03T08:34:06Z","Presiden  optimis fasilitas General System Of Preference yg di terima Indonesia akan berdampak positif pd produk ekspor  amp  investasi   kata simbiosis mutualisme sejalan dng Omnibus Law jg     ","presiden optimis fasilitas general system of preference yg terima indonesia berdampak positif pd produk ekspor amp investasi simbiosis mutualisme sejalan dng omnibus law jg ","positive",30,0.14069598
"xarcil","female",907,"2020-11-03T08:34:08Z","Kabar terbaru  Jokowi resmi menandatangani omnibus law UU Cipta Kerja pada Senin  2 11   Peraturan itu bernomor UU Nomor 11 Tahun 2020  Tebalnya 1 187 halaman ","kabar terbaru jokowi resmi menandatangani omnibus law uu cipta kerja senin peraturan bernomor uu nomor tebalnya halaman ","negative",21,0.22699871
"DulHadi68086827","male",1702,"2020-11-03T08:34:10Z","Dana Trilunan habis buat cari presiden  hasilnya ini         Sekretaris Negara  Mensesneg   Pratikno  mengakui kekeliruan pada naskah  omnibus law  Undang Undang Cipta Kerja  UU Ciptaker  yang telah diteken Presiden RI Jokowi pada Senin  2 11  lalu  ","dana trilunan habis cari presiden hasilnya sekretaris negara mensesneg pratikno mengakui kekeliruan naskah omnibus law undang undang cipta kerja uu ciptaker diteken presiden ri jokowi senin ","positive",28,0.15503666
"_chaijann","female",429,"2020-11-03T08:33:34Z","UU omnibus law ditandatangani tengah malam sama oak jokowi  Luar biasa hbs sholat tahajjud lgsg tandatangan  Salut  cocok jd komisaris gaes ","uu omnibus law ditandatangani malam oak jokowi hbs sholat tahajjud lgsg tandatangan salut cocok jd komisaris gaes ","positive",21,0.1358483
"kunBRYANSMITH","male",2417,"2020-11-03T08:33:36Z","Dana Trilunan habis buat cari presiden  hasilnya ini         Sekretaris Negara  Mensesneg   Pratikno  mengakui kekeliruan pada naskah  omnibus law  Undang Undang Cipta Kerja  UU Ciptaker  yang telah diteken Presiden RI Jokowi pada Senin  2 11  lalu  ","dana trilunan habis cari presiden hasilnya sekretaris negara mensesneg pratikno mengakui kekeliruan naskah omnibus law undang undang cipta kerja uu ciptaker diteken presiden ri jokowi senin ","positive",28,0.15503666
"Widog798","male",41,"2020-11-03T08:33:56Z","anjaaayyy     cacat UU Ciptaker sdh diteken loh           ","anjaaayyy cacat uu ciptaker sdh diteken loh ","negative",7,0.01158501
"JosephineAuror","female",341,"2020-11-03T08:33:58Z","    Omnibus Law  Sesat Pikir dan Buruknya Strategi Komunikasi     UU Omnibus Law Cipta Kerja sudah sempurna  Sudah pasti jauh dari sempurna  Banyak hal perlu diperbaki dan disempurnakan  "," omnibus law sesat pikir buruknya strategi komunikasi uu omnibus law cipta kerja sempurna sempurna diperbaki disempurnakan ","positive",29,0.27456472
"RiyanMahfud","male",69,"2020-11-03T08:34:00Z","Kabar terbaru  Jokowi resmi menandatangani omnibus law UU Cipta Kerja pada Senin  2 11   Peraturan itu bernomor UU Nomor 11 Tahun 2020  Tebalnya 1 187 halaman ","kabar terbaru jokowi resmi menandatangani omnibus law uu cipta kerja senin peraturan bernomor uu nomor tebalnya halaman ","negative",21,0.22699871
"JosephineAuror","female",341,"2020-11-03T08:34:24Z","Mereka sedang membela sistem koruptif dari birokrasi perizinan yang selama ini mereka nikmati  Di sisi lain para dedengkot serikat pekerja juga kebakaran jenggot karena perannya dikurangi signifikan dalam UU Omnibus Law Cipta Kerja ini"," membela sistem koruptif birokrasi perizinan nikmati sisi dedengkot serikat pekerja kebakaran jenggot perannya dikurangi signifikan uu omnibus law cipta kerja ","negative",34,0.17567598
"sakadugana","male",1229,"2020-11-03T08:34:25Z","Dahlan   Jokowi Presiden Terkuat dalam 22 Tahun  ","dahlan jokowi presiden terkuat ","positive",6,0.04477662
"JosephineAuror","female",341,"2020-11-03T08:34:27Z","Pada saat kewenangan mereka dibatasi  otomatis daya tawar mereka untuk memeras pengusaha  pemerintah dan buruh semakin rendah sehingga para pimpinan serikat pekerja ini mati matian menolak UU Omnibus Law Cipta Kerja "," kewenangan dibatasi otomatis daya tawar memeras pengusaha pemerintah buruh rendah pimpinan serikat pekerja mati matian menolak uu omnibus law cipta kerja ","positive",30,0.18010754
"JosephineAuror","female",341,"2020-11-03T08:34:13Z","Apalagi setelah reformasi dan era otonomi daerah  banyak Kepala Daerah baik Gubernur maupun Bupati atau Walikota menjelma jadi sesosok raja kecil yang mengatur daerahnya sakpenake udele dewe"," reformasi era otonomi daerah kepala daerah gubernur bupati walikota menjelma sesosok raja mengatur daerahnya sakpenake udele dewe","positive",27,0.00338556
"JosephineAuror","female",341,"2020-11-03T08:34:17Z","Upaya Presiden Jokowi  pasti sudah diperhitungkan dari awal bahwa akan banyak penolakan dari berbagai arah penjuru mata angin  Di mulai dari kepala daerah sampai pimpinan serikat pekerja yang kehilangan taringnya di Omnibus Law ini","upaya presiden jokowi diperhitungkan penolakan arah penjuru mata angin kepala daerah pimpinan serikat pekerja kehilangan taringnya omnibus law ","positive",34,0.15429433
"JosephineAuror","female",341,"2020-11-03T08:34:48Z","Mereka rata rata punya uang yang melimpah tanpa batas dan langsung mendompleng aksi penolakan terhadap UU Omnibus Law Cipta Kerja ini karena merasa musuh bersama yaitu Presiden Jokowi"," uang melimpah batas langsung mendompleng aksi penolakan uu omnibus law cipta kerja musuh presiden jokowi","positive",27,0.21101589
"sakurakechi","",283,"2020-11-03T08:34:50Z","Omnibus Law Cipta Kerja sudah ditandatangani Presiden Jokowi  Netizen penasaran apa ini artinya paranormal resmi dalam layanan kesehatan   ","omnibus law cipta kerja ditandatangani presiden jokowi netizen penasaran paranormal resmi layanan kesehatan ","negative",19,0.21591983
"radithew_adith","male",4,"2020-11-03T08:34:59Z","Karena mata awam ga bisa  mungkin butuh mata Sharingan buat ngeliat isi pasal 5 UU Omnibus Law ini          "," mata awam ga butuh mata sharingan ngeliat isi pasal uu omnibus law ","negative",19,0.11366804
"JosephineAuror","female",341,"2020-11-03T08:34:30Z","Kelompok yang sudah mapan di zona nyaman tapi sesat pikir ini mati matian dengan menggunakan segala cara untuk membatalkan pengesahan UU Omnibus Law Cipta kerja ini","kelompok mapan zona nyaman sesat pikir mati matian membatalkan pengesahan uu omnibus law cipta kerja ","negative",25,0.16878122
"JosephineAuror","female",341,"2020-11-03T08:34:38Z","Kelompok rezim lama yang selama ini terganggu dengan gebrakan Presiden Jokowi maupun kelompok yang ambisius pengen kebelet berkuasa","kelompok rezim terganggu gebrakan presiden jokowi kelompok ambisius pengen kebelet berkuasa","negative",18,0.04361813
"bebeklung","male",1,"2020-11-03T08:41:22Z","  Maksutnya apa situ memaksakan n menandatangani UU Omnibus Law   Situ bekerja utk siapa   Situ presiden mana   Klo gak menganggap rakyat lg  knp tetep ngotot jd presiden di negri ini   Jadilah presiden di negara cina sj  rakyat Indonesia jelas menolak           "," maksutnya situ memaksakan n menandatangani uu omnibus law situ utk situ presiden klo gak menganggap rakyat lg knp tetep ngotot jd presiden negri presiden negara cina sj rakyat indonesia menolak ","negative",36,0.12962839
"NacikitDaniel","male",227,"2020-11-03T08:42:30Z","Yang suka cari cari keuntuhan yg haram siap siap dicyduk   Bersatu Kalahkan Kovid"," suka cari cari keuntuhan yg haram dicyduk bersatu kalahkan kovid","positive",12,0.01404824
"DimasPermana817","male",5432,"2020-11-03T08:42:35Z","Alasan mereka karna omnibus law  pak Jokowi  terimakasih kpd semua teman2 yg sdh mendukung  yg ga pernah menyerah melawan hoax dan meluruskan  semangat bantu negara      Kalahkan Kovid ","alasan karna omnibus law jokowi terimakasih kpd teman yg sdh mendukung yg ga menyerah melawan hoax meluruskan semangat bantu negara kalahkan kovid ","positive",31,0.15928825
"xaliber","male",1262,"2020-11-03T08:41:16Z"," halo Mbak Mita  saya antropolog saat ini lagi penelitian utk University of Amsterdam tentang gerakan anak muda  amp  terkait dengan omnibus law  Bolehkah saya kontak Mbak Mita   mungkin via email atau DM "," halo mbak mita antropolog penelitian utk university of amsterdam gerakan anak muda amp terkait omnibus law kontak mbak mita via email dm ","positive",31,0.11351063
"ZAEffendy","",68038,"2020-11-03T08:41:19Z","   BATALKAN OMNIBUS LAW    "," batalkan omnibus law ","positive",5,0.10950645
"AminullahGilang","male",0,"2020-11-03T08:42:00Z","Omnibus Law UU Cipta Kerja mengefisiensikan proses nilai tambah  dan itu menjadi hal yang baik untuk terciptanya lapangan pekerjaan yang luas  ","omnibus law uu cipta kerja mengefisiensikan proses nilai terciptanya lapangan pekerjaan luas ","positive",22,0.17731813
"sapyhx","female",3333,"2020-11-03T08:41:39Z","Presiden Jokowi resmi meneken UU Cipta Kerja  Namun  berdasarkan penelusuran Tempo  masih ada salah ketik alias typo dalam omnibus law berjumlah 1 187 halaman ini   ","presiden jokowi resmi meneken uu cipta kerja berdasarkan penelusuran tempo salah ketik alias typo omnibus law halaman ","negative",24,0.23095784
"Hasti__i","female",65,"2020-11-03T08:42:41Z","Berbeda dengan mayoritas publik dan aktivis di negeri ini  pakar hukum tata negara  Profesor Romli Atmasasita justru menyambut baik lahirnya Omnibus Law UU Cipta Kerja  Kalahkan Kovid ","berbeda mayoritas publik aktivis negeri pakar hukum tata negara profesor romli atmasasita menyambut lahirnya omnibus law uu cipta kerja kalahkan kovid ","positive",29,0.19874475
"gueoce","female",116,"2020-11-03T08:42:07Z","Untuk sekian kalinya omnibus law menghilang lagi  kabur lagi  lenyap lagi  salah lagi  berkali kali begini  JDIH Setneg Lumpuh  Tak Bisa Unduh UU Cipta Kerja  "," sekian kalinya omnibus law menghilang kabur lenyap salah berkali kali jdih setneg lumpuh unduh uu cipta kerja ","positive",27,0.17069329
"maydmyt","female",89,"2020-11-03T08:41:26Z","sehat pak  ","sehat ","positive",2,0.00010123
"putraa_gaming","male",41,"2020-11-03T08:46:06Z","Presiden Joko Widodo kembali mengungkapkan alasan pemerintah di balik pembentukan omnibus law  UU Ciptaker dibuat guna memangkas dan menyederhanakan berbagai regulasi yang dinilai sudah terlalu banyak  Kalahkan Kovid ","presiden joko widodo alasan pemerintah pembentukan omnibus law uu ciptaker memangkas menyederhanakan regulasi dinilai kalahkan kovid ","positive",30,0.15877087
"UBlangsat","male",1,"2020-11-03T08:46:09Z","Dana Trilunan habis buat cari presiden  hasilnya ini         Sekretaris Negara  Mensesneg   Pratikno  mengakui kekeliruan pada naskah  omnibus law  Undang Undang Cipta Kerja  UU Ciptaker  yang telah diteken Presiden RI Jokowi pada Senin  2 11  lalu  ","dana trilunan habis cari presiden hasilnya sekretaris negara mensesneg pratikno mengakui kekeliruan naskah omnibus law undang undang cipta kerja uu ciptaker diteken presiden ri jokowi senin ","positive",28,0.15503666
"detikfinance","female",559382,"2020-11-03T08:47:36Z","Presiden Joko Widodo telah resmi meneken UU Omnibus Law Cipta Kerja yang diundangkan dengan nomor 11 tahun 2020  ","presiden joko widodo resmi meneken uu omnibus law cipta kerja diundangkan nomor ","positive",16,0.19826112
"AthayaHayya","male",2329,"2020-11-03T08:47:36Z","6   perizinan yg selama ini terjadi utk berinvestasi menjadikan lambatnya perekonomian dan keterbatasan lapangan kerja Law adlh jalan kluar utk mendorong perekonomian nasional dgn memberikan kemudahan perizinan dlm berinvestasi "," perizinan yg utk berinvestasi menjadikan lambatnya perekonomian keterbatasan lapangan kerja law adlh jalan kluar utk mendorong perekonomian nasional dgn kemudahan perizinan dlm berinvestasi ","positive",31,0.16061547
"xaliber","male",1262,"2020-11-03T08:46:24Z"," Halo Mbak Mita  maaf nimbrung  saya antropolog saat ini lagi penelitian utk University of Amsterdam tentang youth activism  amp  terkait dengan omnibus law  Bolehkah saya kontak Mbak Mita   mungkin via email DM   DM nya saat ini masih dikunci "," halo mbak mita maaf nimbrung antropolog penelitian utk university of amsterdam youth activism amp terkait omnibus law kontak mbak mita via email dm dm nya dikunci ","positive",35,0.11181226
"fajaronline","male",54855,"2020-11-03T08:46:28Z","PKS Tetap Ngotot Tolak UU Omnibus Law Cipta Kerja ","pks ngotot tolak uu omnibus law cipta kerja ","negative",9,0.16919737
"PabloHerlambang","male",209,"2020-11-03T08:46:57Z","Teruslah Ngibul Meski tak Berguna  dan PKS adalah fraksi yang tak setuju UU Cipta Kerja  YLBHI menantang 2 fraksi itu mengajukan RUU inisiatif untuk membatalkan Omnibus Law tersebut ","teruslah ngibul berguna pks fraksi setuju uu cipta kerja ylbhi menantang fraksi mengajukan ruu inisiatif membatalkan omnibus law ","negative",28,0.17095199
"RETHA_Monicaa","female",6910,"2020-11-03T08:47:00Z","Omnibus law untuk Indonesia adalah jalan keluar menghadapi perlambatan ekonomi dan keterbatasan lapangan kerja  ","omnibus law indonesia jalan menghadapi perlambatan ekonomi keterbatasan lapangan kerja ","negative",15,0.15887209
"yan_oom","female",1129,"2020-11-03T08:46:48Z","Semangat      ","semangat ","positive",3,0.00098979
"keevan03","male",7429,"2020-11-03T08:46:48Z","Yang tidak senang dan tidak setuju Omnibus Law disahkan oleh Pemerintah berarti mereka bagian dari mafia Regulasi dan Birokrasi yang Korup  KadrunRp dan AktifisRp yang sok berjuang atas nama Rakyat padahal untuk kepentingan Koruptor "," senang setuju omnibus law disahkan pemerintah mafia regulasi birokrasi korup kadrunrp aktifisrp sok berjuang nama rakyat kepentingan koruptor ","negative",35,0.1320466
"Ari88368461","male",1884,"2020-11-03T08:45:46Z","Alasan mereka karna omnibus law  pak Jokowi  terimakasih kpd semua teman2 yg sdh mendukung  yg ga pernah menyerah melawan hoax dan meluruskan  semangat bantu negara      Kalahkan Kovid ","alasan karna omnibus law jokowi terimakasih kpd teman yg sdh mendukung yg ga menyerah melawan hoax meluruskan semangat bantu negara kalahkan kovid ","positive",31,0.15928825
"fian026","male",934,"2020-11-03T08:47:03Z","Presiden Jokowi resmi meneken UU Cipta Kerja  Namun  berdasarkan penelusuran Tempo  masih ada salah ketik alias typo dalam omnibus law berjumlah 1 187 halaman ini   ","presiden jokowi resmi meneken uu cipta kerja berdasarkan penelusuran tempo salah ketik alias typo omnibus law halaman ","negative",24,0.23095784
"ocin71","male",496,"2020-11-03T08:45:26Z","Aksi Demo Para Buruh Tolak UU Omnibus Law msh berlanjut  2 November 2020 sampai batal UU Omnibus Law Umur Perjuangan     ","aksi demo buruh tolak uu omnibus law msh berlanjut november batal uu omnibus law umur perjuangan ","negative",21,0.22289332
"Heri_aja","male",2103,"2020-11-03T08:50:13Z","Teruslah Ngibul Meski tak Berguna  dan PKS adalah fraksi yang tak setuju UU Cipta Kerja  YLBHI menantang 2 fraksi itu mengajukan RUU inisiatif untuk membatalkan Omnibus Law tersebut ","teruslah ngibul berguna pks fraksi setuju uu cipta kerja ylbhi menantang fraksi mengajukan ruu inisiatif membatalkan omnibus law ","negative",28,0.17095199
"badonci","male",3642,"2020-11-03T08:50:15Z","Bagi pejabat  cari uang  ceperan  itu bisa dengan dua cara  Cara pertama persulit lah pengusaha  pasti akan keluar uangnya  Atau pakai cara kedua  bantulah para pengusaha  mereka akan keluar juga uang sebagian Kalahkan Kovid"," pejabat cari uang ceperan persulit pengusaha uangnya pakai bantulah pengusaha uang kalahkan kovid","positive",32,0.0186485
"andi_achilles","female",1894,"2020-11-03T08:50:06Z"," BREAKING   Widodo resmi menandatangani Omnibus Law  Undang Undang Cipta Kerja  Ciptaker  pada Senin  2 11 2020  malam  malam "," breaking widodo resmi menandatangani omnibus law undang undang cipta kerja ciptaker senin malam malam ","negative",14,0.15934449
"CFajarR95","female",44,"2020-11-03T08:50:07Z","Debat singkat sama salah satu sodara tentang omnibus law  yg dia blowup terkait cuti untuk wanita sama umr gt ump  tapi waktu digiring ke topik perijinan lingkungan  jawabnya ngga nyambung capek","debat singkat salah sodara omnibus law yg blowup terkait cuti wanita umr gt ump digiring topik perijinan lingkungan ngga nyambung capek","negative",30,0.11235211
"prytnma","male",844,"2020-11-03T08:51:29Z","Ya btl   stabilan politik keamanan merupakan hal yang penting bagi para pengusaha   Law  Dahlan  Jokowi Presiden Terkuat dalam 22 Tahun  ","ya btl stabilan politik keamanan pengusaha law dahlan jokowi presiden terkuat ","positive",19,0.15336077
"MsyaiinS","male",640,"2020-11-03T08:51:30Z","Teruslah Ngibul Meski tak Berguna  dan PKS adalah fraksi yang tak setuju UU Cipta Kerja  YLBHI menantang 2 fraksi itu mengajukan RUU inisiatif untuk membatalkan Omnibus Law tersebut ","teruslah ngibul berguna pks fraksi setuju uu cipta kerja ylbhi menantang fraksi mengajukan ruu inisiatif membatalkan omnibus law ","negative",28,0.17095199
"MilyECS","female",2626,"2020-11-03T08:50:18Z"," Ak dibully karena aku bilang omnibus law bikin Indonesia maju    "," ak dibully bilang omnibus law bikin indonesia maju ","positive",10,0.11621001
"ditafachrunisa","female",4,"2020-11-03T08:50:22Z","500 Buruh Konfederasi Serikat Pekerja Indonesia  KSPI  kembali melakukan aksi di DPRD Jatim  Kali ini mengawal gugatan Judicial Review di MK soal Omnibus Law    "," buruh konfederasi serikat pekerja indonesia kspi aksi dprd jatim kali mengawal gugatan judicial review mk omnibus law ","positive",26,0.1264453
"AmalinaMaruto","male",0,"2020-11-03T08:51:00Z","Omnibus Law UU Cipta Kerja dapat memperbaiki tumpang tindih kebijakan antara pempus dan pemda  yang di anggap selama ini menghambat kebijakan  ","omnibus law uu cipta kerja memperbaiki tumpang tindih kebijakan pempus pemda anggap menghambat kebijakan ","negative",22,0.17314527
